Record Type,Date and Time,Annotation,Average Above PAR,Average Below PAR,Tau [?],Leaf Area Index [LAI],Leaf Distribuition [?],Beam Fraction [Fb],Zenith Angle,Latitude,Longitude
SUM,4/18/2016 13:23,OSBS37W,2057.8,1741.2,0.845,0.39,1,0.91,34°,45°,-85°
SUM,4/18/2016 13:25,OSBS37C,1979.6,1806.7,0.878,0.43,1,0.91,34°,45°,-85°
SUM,4/18/2016 13:27,OSBS37E,2091.7,1724.5,0.823,0.55,1,0.91,34°,45°,-85°
SUM,4/18/2016 13:53,OSBS28W,2132.1,1506.3,0.705,1.15,1,0.91,21°,31°,-82°
SUM,4/18/2016 13:56,OSBS28C,2098.8,1326,0.629,1.43,1,0.91,21°,31°,-82°
SUM,4/18/2016 13:58,OSBS28E,2052.4,1886.5,0.893,0.32,1,0.91,21°,31°,-82°
SUM,4/18/2016 14:23,OSBS41W,2143.7,2072,0.964,0.07,1,0.91,24°,31°,-82°
SUM,4/18/2016 14:25,OSBS41C,2144.2,1650.6,0.769,0.75,1,0.91,24°,31°,-82°
SUM,4/18/2016 14:27,OSBS41E,2087,1548,0.737,0.98,1,0.91,25°,31°,-82°
SUM,4/18/2016 14:47,OSBS35W,2108.1,1869.6,0.881,0.33,1,0.91,27°,31°,-82°
SUM,4/18/2016 14:49,OSBS35C,2084.4,1127.6,0.539,1.62,1,0.91,28°,31°,-82°
SUM,4/18/2016 14:51,OSBS35E,2052.1,1607.5,0.779,0.77,1,0.91,28°,31°,-82°
SUM,4/18/2016 15:53,OSBS30W,1930.9,1220.5,0.631,1.08,1,0.91,39°,31°,-82°
SUM,4/18/2016 15:56,OSBS30C,1933,1121.5,0.579,1.33,1,0.91,40°,31°,-82°
SUM,4/18/2016 16:10,OSBS30E,1887.7,1541.1,0.815,0.45,1,0.91,43°,31°,-82°
SUM,4/18/2016 16:30,OSBS38W,1913.2,1193.9,0.623,1,1,0.91,47°,31°,-82°
SUM,4/18/2016 16:33,OSBS38C,1898.9,1009.6,0.531,1.27,1,0.91,47°,31°,-82°
SUM,4/18/2016 16:36,OSBS38E,1882.9,818.2,0.433,1.72,1,0.91,48°,31°,-82°
SUM,4/18/2016 16:52,OSBS25W,1878.1,1010.9,0.537,1.13,1,0.91,51°,31°,-82°
SUM,4/18/2016 16:53,OSBS25C,1806.2,771,0.426,1.58,1,0.91,52°,31°,-82°
SUM,4/18/2016 16:55,OSBS25E,1831.4,1323.1,0.721,0.52,1,0.91,52°,31°,-82°
SUM,4/18/2016 17:10,OSBS42E,1354.7,440.1,0.324,1.77,1,0.91,55°,31°,-82°
SUM,4/18/2016 17:12,OSBS42C,1398.1,627.8,0.448,1.38,1,0.91,56°,31°,-82°
SUM,4/18/2016 17:13,OSBS42W,1432.4,737.6,0.514,1.17,1,0.91,56°,31°,-82°
SUM,4/19/2016 11:16,OSBS44W,1483.4,698.3,0.466,1.79,1,0.83,36°,31°,-82°
SUM,4/19/2016 11:17,OSBS44C,1480.9,909.5,0.608,1.22,1,0.82,36°,31°,-82°
SUM,4/19/2016 11:20,OSBS44E,1536.6,882.8,0.568,1.35,1,0.84,35°,31°,-82°
SUM,4/19/2016 11:35,OSBS27W,1709.4,929.5,0.542,1.41,1,0.88,32°,31°,-82°
SUM,4/19/2016 11:39,OSBS27E,1714.6,1258.2,0.731,0.79,1,0.88,32°,31°,-82°
SUM,4/19/2016 11:40,OSBS27C,1644.7,1019.8,0.615,1.21,1,0.86,32°,31°,-82°
SUM,4/19/2016 11:55,OSBS26E,1716.6,929.1,0.54,1.58,1,0.86,29°,31°,-82°
SUM,4/19/2016 11:56,OSBS26C,1797.5,1222.4,0.679,0.94,1,0.89,29°,31°,-82°
SUM,4/19/2016 11:57,OSBS26W,1740.9,1333.5,0.762,0.74,1,0.87,29°,31°,-82°
SUM,4/19/2016 12:11,OSBS39W,2060.5,1388,0.673,0.97,1,0.91,26°,31°,-82°
SUM,4/19/2016 12:12,OSBS39C,1920.5,1634.3,0.849,0.44,1,0.91,26°,31°,-82°
SUM,4/19/2016 12:13,OSBS39E,1963.7,1336.2,0.678,1.05,1,0.91,26°,31°,-82°
SUM,4/19/2016 12:32,OSBS29W,2007.4,1147.9,0.571,1.52,1,0.91,23°,31°,-82°
SUM,4/19/2016 12:34,OSBS29C,1913,1154,0.599,1.45,1,0.9,23°,31°,-82°
SUM,4/19/2016 12:36,OSBS29E,1972,1318.5,0.658,1.29,1,0.91,23°,31°,-82°
SUM,4/19/2016 12:56,OSBS43W,2226,1442.8,0.648,1.17,1,0.91,21°,31°,-82°
SUM,4/19/2016 12:59,OSBS43C,2046.2,1054.2,0.514,1.64,1,0.91,21°,31°,-82°
SUM,4/19/2016 13:00,OSBS43E,2028.4,1057.6,0.521,1.66,1,0.91,21°,31°,-82°
SUM,4/19/2016 13:14,OSBS36E,2060.9,1673.9,0.802,0.66,1,0.91,20°,31°,-82°
SUM,4/19/2016 13:16,OSBS36C,2147.9,1804.3,0.835,0.59,1,0.91,20°,31°,-82°
SUM,4/19/2016 13:18,OSBS36W,2088.1,1217.5,0.582,1.6,1,0.91,20°,31°,-82°
SUM,4/19/2016 14:14,OSBS32W,2185.3,1516.1,0.692,1.06,1,0.91,23°,31°,-82°
SUM,4/19/2016 14:20,OSBS32C,2213.8,1394.9,0.629,1.23,1,0.91,23°,31°,-82°
SUM,4/19/2016 14:22,OSBS32E,2144.9,1483.5,0.687,1.17,1,0.91,24°,31°,-82°
